slug,name,canonical_family,entity_type,parent_slug,parent_resolution,parent_or_related,relationship_to_parent,presentation_level,adoption_scope,religious_relation_class,theology_model,integration_model,organization_scale,core_tenets,flavor_tags,mechanic_flags,implementation_mode,implementation_readiness,gens_priority,start_year,start_label,end_year,end_label,emergence_band,active_133_bc,active_ad_1,active_ad_235,active_ad_395,active_ad_476,active_ad_565,origin_region,core_regions_during_game,cultures_peoples,key_deities_or_figures,holy_sites_or_centers,authority_model,exclusivity,historical_confidence,attestation_class,historical_label_caution,classification,ck3_role,repo_status,catalog_scope,gameplay_hooks,historical_notes,source_repo,source_history_1,source_history_2,final_pass_status,final_pass_note
mazdakism,Mazdakism,Iranian / Zoroastrian,Sect / heterodox movement,,No single parent resolved,Zoroastrian/Manichaean-influenced Iranian milieu,Base / independent / unresolved relationship,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Iranian Mazdean / dualist-monotheizing,Context-dependent,State / civic institution,,Dualist-coded; Reformist; Communal; Anti-Elite,Dynastic legitimacy; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,490,"Mazdakite movement rises in late 5th c., associated with Kavadh I",529,Suppressed under Kavadh/Khusrō I around early 6th c.,AD 477–565,N,N,N,N,N,N,Sasanian Iran,Sasanian Empire,Iranian reformist communities,Mazdak,Sasanian court and Iranian communities,Movement leadership with temporary royal patronage,Bounded reform movement,Medium–High,Moderately attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Religious-social reform movement,Heresy / reform movement,Late-timeline extension,Sect / schism / school,"Social reform, elite backlash, royal policy, mass suppression",A major late-game Persian religious-political movement within the 565 cutoff.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.iranicaonline.org/articles/mazdak-crossref/,https://en.wikipedia.org/wiki/Mazdakism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
second-temple-judaism,Second Temple Judaism,Jewish,Religion / base tradition,,Base/contact layer: no parent required,Israelite/Judaean religion,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Competing-exclusive,Jewish monotheism,Exclusive / competitive,Local / regional cult institution,Exclusive; Charitable/Communal,Exclusive; Scriptural; Charitable/Communal; Temple-Centered,Doctrine suppression; Charity/communal policy; Pilgrimage,Primary religion/community state,Ready for content design,Tier 1 — Core,-516,Second Temple period begins after rebuilding the Jerusalem Temple,70,Second Temple destroyed by Rome in AD 70,Pre-game / ancient,Y,Y,N,N,N,N,Judaea,Judaea and Jewish diaspora,Jews,God of Israel; Jerusalem Temple priesthood,Jerusalem,High priesthood / Temple institutions; local synagogues,Exclusive monotheism,High,Well attested,,Religion / temple-centered monotheism,Base faith,Core named faith in existing catalog,Religion / branch,"Temple pilgrimage, diaspora, revolt, legal exemptions","Parent environment for Pharisees, Sadducees, Essenes, early Jesus movement.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/article/2335/origins-of-christian-antisemitism-in-the-gospels/,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
hellenistic-judaism,Hellenistic Judaism,Jewish,Regional branch,second-temple-judaism,Normalized alias match: Second Temple Judaism,Second Temple Judaism,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Jewish monotheism,Exclusive / competitive,Teacher / sect network,Exclusive,Exclusive; Scriptural; Philosophical; Diaspora,Doctrine suppression; Local civic standing,Primary religion/community state,Ready for content design,Tier 2 — Major regional,-300,Develops in Hellenistic diaspora after Alexander’s conquests,300,Gradually feeds rabbinic and Christian intellectual worlds,Pre-game / ancient,Y,Y,Y,N,N,N,Alexandria / diaspora,"Egypt, Anatolia, Greek cities, Rome",Greek-speaking Jews,God of Israel; figures such as Philo,Jerusalem; Alexandria synagogues,"Synagogues, teachers, communities",Exclusive monotheism with Hellenistic cultural forms,High,Well attested,,Cultural-religious stream,Syncretic cultural branch,New CK3-style expansion,Religion / branch,"Diaspora education, Greek scripture, civic tensions","Not a separate religion in modern terms, but useful CK3-style cultural faith variant.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Hellenistic_Judaism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
sadducees,Sadducees,Jewish,Sect / heterodox movement,second-temple-judaism,Normalized alias match: Second Temple Judaism,Second Temple Judaism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Jewish monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive,Exclusive; Scriptural; Temple-Centered; Aristocratic,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,-175,Roughly 200–150 BC emergence,70,Disappears after destruction of the Temple,Pre-game / ancient,Y,Y,N,N,N,N,Jerusalem,Judaea,Priestly/aristocratic Jewish elites,Temple priestly houses,Jerusalem Temple,High-priestly/aristocratic networks,Exclusive monotheism,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Sect / priestly party,Sect,New CK3-style expansion,Sect / schism / school,"Temple politics, aristocratic power, Roman collaboration/conflict",Strongly tied to the Temple institution.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Sadducees/,https://www.worldhistory.org/article/2335/origins-of-christian-antisemitism-in-the-gospels/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
essenes-qumran-movement,Essenes / Qumran Movement,Jewish,Sect / heterodox movement,second-temple-judaism,Normalized alias match: Second Temple Judaism,Second Temple Judaism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Jewish monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive,Exclusive; Apocalyptic; Purity; Communal; Ascetic,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,-150,2nd c. BC emergence,70,Qumran destroyed during First Jewish Revolt; movement disappears from record,Pre-game / ancient,Y,Y,N,N,N,N,Judaean Desert,Judaea,Sectarian Jewish communities,Teacher of Righteousness (sectarian tradition),Qumran / Dead Sea region,Community leadership / priests,Exclusive monotheism,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Sect / separatist community,Sect,New CK3-style expansion,Sect / schism / school,"Apocalyptic events, communal property, desert communities","Often linked to Dead Sea Scrolls; “Essene = Qumran” remains a scholarly model, not absolute certainty.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/article/2335/origins-of-christian-antisemitism-in-the-gospels/,https://en.wikipedia.org/wiki/Essenes,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
pharisees,Pharisees,Jewish,Sect / heterodox movement,second-temple-judaism,Normalized alias match: Second Temple Judaism,Second Temple Judaism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Jewish monotheism,Exclusive / competitive,Teacher / sect network,Exclusive,Exclusive; Scriptural; Oral-Tradition; Purity; Resurrection,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,-150,Emerges c. 150 BC,70,As a named Second Temple sect it fades after AD 70; traditions contribute to Rabbinic Judaism,Pre-game / ancient,Y,Y,N,N,N,N,Judaea,Judaea,Jews,Pharisaic teachers; Oral Law tradition,Jerusalem and local communities,Teacher/school networks,Exclusive monotheism,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Sect / legal-religious school,Sect,New CK3-style expansion,Sect / schism / school,"Law interpretation, popular support, post-Temple transition",WHE dates emergence to c. 150 BC.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Pharisees/,https://www.worldhistory.org/article/2335/origins-of-christian-antisemitism-in-the-gospels/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
therapeutae,Therapeutae,Jewish,Sect / heterodox movement,rabbinic-judaism,Normalized alias match: Judaism,Hellenistic Judaism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Jewish monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive,Exclusive; Ascetic; Contemplative; Communal,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,-20,Known from Philo around turn of era; exact origin uncertain,150,Later fate unclear,133 BC–AD 235,N,Y,N,N,N,N,Egypt near Alexandria,Egypt,Jewish ascetic communities,No unique founder known,Lake Mareotis region (traditional association),Community elders,Exclusive monotheism,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Ascetic contemplative movement,Sect / monastic precursor,New CK3-style expansion,Sect / schism / school,"Ascetic retreats, scholarship, communal worship",Evidence is limited and largely dependent on Philo.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Therapeutae,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
zealots,Zealots,Jewish,Sect / heterodox movement,second-temple-judaism,Normalized alias match: Second Temple Judaism,Second Temple Judaism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Jewish monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive; Martial-Coded,Exclusive; Martial-Coded; Apocalyptic; Anti-Imperial,Doctrine suppression; Military affinity; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,6,Associated with anti-Roman resistance from early 1st c. AD; prominent in AD 66 revolt,73,Destroyed/scattered after First Jewish Revolt,133 BC–AD 235,N,N,N,N,N,N,Judaea,Judaea,Anti-Roman Jewish militants,God alone as king; rebel leaders,Jerusalem; rebel strongholds,Factional/rebel leadership,Exclusive monotheism,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Sect / militant religious-political movement,Militant sect,New CK3-style expansion,Sect / schism / school,"Rebellion, anti-tax politics, Roman repression",Do not project a single unified Zealot party backward across all resistance.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/article/2335/origins-of-christian-antisemitism-in-the-gospels/,https://en.wikipedia.org/wiki/Zealots,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
sicarii,Sicarii,Jewish,Sect / heterodox movement,zealots,Normalized direct-name match,Zealots / anti-Roman Jewish resistance,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Jewish monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive; Martial-Coded,Exclusive; Martial-Coded; Secretive; Anti-Imperial,Doctrine suppression; Military affinity; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,50,Mid-1st c. AD,73,Defeated after First Jewish Revolt / Masada tradition,133 BC–AD 235,N,N,N,N,N,N,Judaea,Judaea,Radical anti-Roman militants,Named rebel leaders; no distinct theology known,Jerusalem; Masada,Cell/faction leadership,Exclusive monotheism,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Militant splinter faction,Militant sect,New CK3-style expansion,Sect / schism / school,"Assassination plots, revolt, faction terror","Primarily a political-militant faction inside Jewish religious society, not a separate theology.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/article/2335/origins-of-christian-antisemitism-in-the-gospels/,https://en.wikipedia.org/wiki/Sicarii,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
rabbinic-judaism,Rabbinic Judaism,Jewish,Religion / base tradition,,Base/contact layer: no parent required,Pharisaic and broader post-Temple Judaism,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Competing-exclusive,Jewish monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive,Exclusive; Scriptural; Oral-Tradition; Communal,Doctrine suppression,Primary religion/community state,Ready for content design,Tier 1 — Core,70,Develops after AD 70; rabbinic institutions consolidate in 2nd–6th c.,,Persists beyond AD 565,133 BC–AD 235,N,N,Y,Y,Y,Y,Judaea / Galilee / Babylonia,Roman/Byzantine and Sasanian Jewish communities,Jews,Rabbinic sages; Mishnah and Talmudic traditions,Jerusalem memory; Galilee; Babylonian academies,Rabbinic scholarly leadership; local communities,Exclusive monotheism,High,Well attested,,Religion / post-Temple tradition,Successor faith,Late-timeline extension,Religion / branch,"Post-Temple adaptation, law, diaspora schools, Byzantine/Sasanian relations",Essential for campaigns after AD 70.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Rabbinic_Judaism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
himyarite-judaism,Himyarite Judaism,Jewish,Regional branch,rabbinic-judaism,Normalized alias match: Judaism,Judaism,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Jewish monotheism,Exclusive / competitive,State / civic institution,Exclusive; State-Sponsored,Exclusive; State-Sponsored; Scriptural; Communal,Priesthood; Doctrine suppression; Commerce/travel,Primary religion/community state,Ready for content design,Tier 2 — Major regional,380,Judaism becomes prominent among Himyarite elites by late 4th–5th c.; chronology debated,525,Himyarite Jewish royal regime ends after Aksumite intervention,AD 236–395,N,N,N,Y,Y,N,Yemen / Himyar,Arabia Felix,Himyarite elites and Jewish communities,God of Israel; local Jewish institutions,South Arabian Jewish centers; Jerusalem orientation,Royal patronage + Jewish communities,Exclusive monotheism,Medium–High,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Royal/regional Jewish tradition,Regional state faith,Late-timeline extension,Religion / branch,"Arabia politics, Aksum conflict, Red Sea trade",Important late-game Arabian development; exact conversion chronology is debated.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Himyarite_Kingdom#Jewish_monarchy,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
mandaeism,Mandaeism,Mandaean,Religion / base tradition,,Base/contact layer: no parent required,Late-antique baptist/Gnostic milieu,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Competing-exclusive,Gnostic / dualist-coded,Exclusive / competitive,Local / regional cult institution,,Baptismal; Gnostic; Dualist; Scriptural; Ritualist,,Primary religion/community state,Ready for content design,Tier 2 — Major regional,200,Origins disputed; dateable Mandaic/Gnostic evidence from 3rd–4th c. AD,,Persists beyond AD 565,133 BC–AD 235,N,N,Y,Y,Y,Y,Southern Mesopotamia / Khuzestan,Lower Mesopotamia and southwest Iran,Mandaeans/Nasoraeans,Hayyi Rabbi; John the Baptist honored; Mandaean priesthood,Running rivers/canals; mandi cult sites,Hereditary/ordained priesthood,Exclusive community identity,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Religion / Gnostic baptist ethnoreligion,Base faith,Late-timeline extension,Religion / branch,"River rites, minority politics, Sasanian religious landscape",Origins are disputed; confidence is lower for 1st–2nd c. claims than for late-antique presence.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.iranicaonline.org/articles/mandaeans/mandaeans-ii-the-mandaean-religion/,https://www.iranicaonline.org/articles/mandaeans/mandaeans-i-history/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
manichaeism,Manichaeism,Manichaean,Religion / base tradition,,Base/contact layer: no parent required,Elkhasaite/Jewish-Christian + Christian/Gnostic + Iranian + Buddhist elements,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Competing-exclusive,Dualist universal religion,Exclusive / competitive,Transregional ecclesiastical hierarchy,Syncretic; Exclusive; Deliberately-Syncretic,Exclusive; Missionary; Dualist; Scriptural; Ascetic; Deliberately-Syncretic,Syncretism; Doctrine suppression; Persecution/proscription; Mission/conversion,Primary religion/community state,Ready for content design,Tier 1 — Core,240,Mani begins public preaching c. AD 240,,Persists beyond AD 565; western communities decline later,AD 236–395,N,N,N,Y,Y,Y,Mesopotamia / Sasanian Empire,"Roman, Sasanian, Central Asian and later wider networks",Manichaeans,Mani,Mesopotamian mission centers; later broad network,Organized Manichaean church hierarchy,Exclusive universal religion,High,Well attested,,Independent universal religion,New religion / rival universal faith,Existing named emerging faith; needs timeline update,Religion / branch,"Missionary religion, persecution by Christian/Zoroastrian states, long-distance networks",Current repo calls it a rumor at old AD 235 cutoff; under current 565 range it must be fully playable.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.iranicaonline.org/articles/iran-ix1-religions-in-iran/iran-ix12-manicheism/,https://www.iranicaonline.org/articles/manicheism-parent/manicheism-1-general-survey/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
harranian-moon-and-astral-paganism,Harranian Moon and Astral Paganism,Mesopotamian,Regional branch,mesopotamian-temple-traditions,Normalized direct-name match,Mesopotamian Temple Traditions + Hellenistic astral religion,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; Oracular,Astral; Oracular; Temple-Cult; Syncretic; Aniconic-elements,Oracle/Auspices; Syncretism,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient cult of Sîn; pre-133 BC,,Continues beyond AD 565 and survives into the early Islamic period,Pre-game / ancient,Y,Y,Y,Y,Y,Y,Harran / Carrhae,Osroene and northern Mesopotamia,Harranians and neighboring Syrian/Mesopotamian communities,Sîn; Bat-Nikkal; Nergal-like local deity; Atargatis/Tar'atha; astral gods,Temple of Sîn at Harran,Urban temple priesthoods and local cult specialists,Additive,High,Well attested,,Urban temple religion / late pagan survival,Regional surviving pagan faith,New CK3-style expansion,Religion / branch,"Late pagan stronghold, oracle consultation, Persian frontier, Julian-era events",Particularly valuable for late-game eastern campaigns because Harran remained famous as a pagan center when neighboring Edessa was Christian.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.iranicaonline.org/articles/harran/,https://doi.org/10.4467/20800909EL.23.011.17328,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
mesopotamian-temple-traditions,Mesopotamian Temple Traditions,Mesopotamian,Regional branch,,No single parent resolved,Babylonian/Assyrian cult heritage,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Astral; Temple-Cult; Syncretic,Syncretism,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,500,Some local pagan centers persist deep into late antiquity,Pre-game / ancient,Y,Y,Y,Y,Y,N,Mesopotamia,"Babylonia, northern Mesopotamia, Harran region",Aramaic and Mesopotamian communities,"Sin, Shamash, Nabu and localized deities",Harran; local temple cities,Temple priesthoods,Additive,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Regional temple polytheism,Base faith,New CK3-style expansion,Religion / branch,"Mesopotamian city cults, astronomy, Persian/Roman borderland","Should be handled as late survivals and local continuities, not a restored Neo-Babylonian state religion.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Ancient_Mesopotamian_religion,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
chaldean-theurgy-chaldean-oracles,Chaldean Theurgy / Chaldean Oracles,Mesopotamian / Hellenistic Esotericism,School / religio-philosophical movement,,No single parent resolved,Middle Platonism + eastern religious imagery,Base / independent / unresolved relationship,Intellectual School,Character intellectual/religious affiliation,Competing-exclusive,Philosophical / esoteric religious school,Exclusive / competitive,Teacher / sect network,Oracular,Theurgic; Oracular; Esoteric; Philosophical,Oracle/Auspices,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,150,Chaldean Oracles composed in 2nd c. AD,550,Influential throughout late antique Neoplatonism,133 BC–AD 235,N,N,Y,Y,Y,N,Eastern Mediterranean,"Philosophical circles in Syria, Anatolia, Alexandria, Athens",Theurgists and philosophers,Hecate and hierarchical divine powers in the Oracles,No single holy site,Teacher/text lineages,Non-exclusive,Medium–High,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Esoteric theurgic school,Esoteric school,Late-timeline extension,Sect / schism / school,"Ritual magic, philosophical schools, oracle mechanics",A strong content bridge for magic/ritual flavor without treating it as mass religion.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Chaldean_Oracles,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
numidian-berber-tradition,Numidian / Berber Tradition,North African / Punic-Berber,Regional branch,,No single parent resolved,Indigenous North African religions,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Thin-Record,Syncretic; Thin-Record,Syncretism,Primary religion/community state,Research-limited — light mechanics,Tier 3 — Enrichment,,Ancient; pre-133 BC,500,Romanized/Christianized gradually,Pre-game / ancient,Y,Y,Y,Y,Y,N,Numidia / Mauretania,North Africa west of Carthage,"Numidians, Berbers",Local deities; later strong Saturn/Baal syncretism,Local sanctuaries,Local priests / tribal traditions,Additive,Low–Medium,Thin / reconstructed,Surviving evidence is limited or reconstruction is debated.,Ethnic / regional polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Frontier identity, Roman-African syncretism",Specific theology is poorly documented; sheet intentionally keeps it broad.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Carthage/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
punic-carthaginian-religion,Punic / Carthaginian Religion,North African / Punic-Berber,Religion / base tradition,phoenician-religion,Direct name match,Phoenician religion,Related tradition,Full Faith,Household/community primary religion,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic,Syncretic; Civic; Sacrificial,Syncretism; Local civic standing,Primary religion/community state,Ready for content design,Tier 1 — Core,,Ancient Phoenician-Punic tradition; pre-133 BC,400,Survives under Roman rule in syncretized forms,Pre-game / ancient,Y,Y,Y,Y,N,N,Carthage / western Phoenician colonies,"North Africa, Sardinia, western Mediterranean",Punic communities,"Baal Hammon, Tanit, Melqart, Eshmun",Carthage; Punic sanctuaries,Temple priesthoods and civic elites,Additive,High,Well attested,,Ethnic / civic polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Carthaginian identity, Roman-African syncretism, temple politics",Handle ancient child-sacrifice claims cautiously; modern scholarship debates interpretation of tophet evidence.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Carthaginian_Religion/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
african-liber-pater,African Liber Pater,North African / Punic-Berber,Cult / devotion,punic-carthaginian-religion,Normalized alias match: Punic / Carthaginian Religion,Roman-African Saturn Cult + Punic / Carthaginian Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic,Syncretic; Fertility; Civic; Dionysian-coded,Sacred calendar; Syncretism; Local civic standing,Overlay system,Ready for event/light content,Tier 3 — Enrichment,-100,Cult is widespread in Roman Africa by the late Republic / early Empire,450,Declines through late antique Christianization,133 BC–AD 235,N,Y,Y,Y,N,N,Roman North Africa,"Africa Proconsularis, Numidia, Tripolitania and Mauretania",Roman Africans; Punic and Berber communities,Liber Pater; sometimes connected in scholarship with Shadrapha and local divine traditions,Lepcis Magna; Madaura; numerous African civic sanctuaries,"Municipal priesthoods, associations and local sanctuaries",Additive / syncretic,Medium–High,Moderately attested,,Romano-African syncretic deity cult,Major regional cult,Final-pass expansion,Cult / devotion layer,Festivals; wine/agriculture; African civic identity; associations; Severan-era patronage,"The African cult of Liber Pater was extremely popular, but its exact relationship to Greco-Roman Liber/Dionysus and local Punic-Berber gods varied by place.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://e-revistas.uc3m.es/index.php/ARYS/en/article/view/9244,https://www.persee.fr/doc/efr_0000-0000_1986_act_89_1_11511,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
dea-caelestis-tanit-caelestis,Dea Caelestis / Tanit-Caelestis,North African / Punic-Berber,Cult / devotion,punic-carthaginian-religion,Normalized alias match: Punic / Carthaginian Religion,Punic / Carthaginian Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; State-Sponsored; Oracular,Syncretic; State-Sponsored; Oracular; Provincial-Identity,Oracle/Auspices; Priesthood; Syncretism; Local civic standing; Provincial identity,Overlay system,Ready for content design,Tier 2 — Major regional,-100,Roman-era successor/translation of Tanit is established by the late Republic and early Empire,421,Public cult in Carthage is progressively restricted and dismantled c. AD 399–421,133 BC–AD 235,N,Y,Y,Y,N,N,Carthage / Africa Proconsularis,"Carthage, Africa Proconsularis, Numidia and African diaspora communities",Roman Africans; Punic-descended communities; urban elites,Tanit / Tinnit; Juno Caelestis; Dea Caelestis,Temple of Caelestis at Carthage,Major civic temple with elite patronage and oracle traditions,Additive / syncretic,High,Well attested,,Romano-Punic civic goddess cult,Major civic / provincial cult,Final-pass expansion,Cult / devotion layer,Carthaginian civic identity; provincial prestige; oracle; pagan-Christian conflict; African diaspora,Caelestis inherited major aspects of Tanit and became an emblematic Roman-African goddess; late survival should not be overstated after the early fifth-century restrictions.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://academic.oup.com/edited-volume/61673/chapter-abstract/548561789,https://ora.ox.ac.uk/objects/uuid%3A68cdfb98-0e20-47f4-8013-68402cbc2f5f,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
